TANGGAL,Bandar_Buat,Limau_Manih_UNAND,Lubuk_Minturun,Nanggalo,Parak_Karakah,Stamar_Teluk_Bayur,Tambang_Semen_Padang,Teluk_Bayur,Water_Plan_Semen_Padang
2017-01-01,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-01-02,10.46506741798601,17.0900885900217,19.5,31.0,15.0,12.163618964362337,15.555669018138389,15.304096237771368,14.592723083733743
2017-01-03,21.1888871613953,57.53235419104857,38.5,31.0,22.0,46.9103731592164,47.805946636046144,15.181255823794826,52.39476324926771
2017-01-04,23.31920930611693,33.96297719278289,51.0,46.0,57.0,34.25716007169381,47.001104593554196,46.44362982381793,46.70783005758675
2017-01-05,73.84720788570876,60.8988859056933,78.0,96.0,83.5,59.24499413989917,64.85147591924044,84.4883049391613,44.65433431210062
2017-01-06,17.642218265726946,37.957459200674364,68.0,48.0,40.8,24.124985962997286,36.86380287200055,66.17923331938084,41.26305746245248
2017-01-07,30.573923108705348,32.44662107170849,21.5,26.0,29.0,37.50971942782988,21.94221340655846,10.144171673211499,29.394370217994652
2017-01-08,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-01-09,33.7,3.4,0.0,0.0,0.5,1.0,0.6,0.0,0.2
2017-01-10,4.2,2.6,0.0,0.0,1.0,16.0,0.8,3.2,0.64
2017-01-11,3.2016882395949073,12.73983089369563,4.0,3.0,1.7,2.5803464551243533,10.520772768679224,10.2756237425176,16.524292998982883
2017-01-12,3.075794249418244,16.2137972957323,1.0,3.0,3.5,16.14594639875049,5.201685364950126,14.34485857404462,9.313572767366155
2017-01-13,12.702858049454147,21.989342820006517,14.1,29.0,20.0,14.137676432185517,12.126451403748687,9.52548622287617,19.113540283053048
2017-01-14,34.96484820075363,0.0,73.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,1.79887919215192,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,23.410968433090364,21.50770669208081,0.0,51.0,34.4,31.68642025001633,42.33028809326288,17.402432136032967,50.15360670313927
2017-01-17,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-01-18,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
