POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,CURRENT ELEVATION M,DATA TIMESTAMP,RECEIVED TIMESTAMP,RAINFALL DAY MM,RAINFALL TRACE
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-07 00:00:00.0 +0:00,2023-07-20 14:50:47.874777 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-08 00:00:00.0 +0:00,2023-07-20 14:50:49.531689 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-09 00:00:00.0 +0:00,2023-07-20 14:50:52.841345 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-10 00:00:00.0 +0:00,2023-07-20 14:50:46.297655 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-11 00:00:00.0 +0:00,2023-07-20 14:50:57.66742 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-12 00:00:00.0 +0:00,2023-07-20 14:50:50.352731 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-13 00:00:00.0 +0:00,2023-07-20 14:50:38.860524 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-14 00:00:00.0 +0:00,2023-07-20 14:50:43.763021 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-15 00:00:00.0 +0:00,2023-07-20 14:50:39.607562 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-16 00:00:00.0 +0:00,2023-07-20 14:50:51.202316 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-17 00:00:00.0 +0:00,2023-07-20 14:50:44.621309 Asia/Jakarta,2.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-18 00:00:00.0 +0:00,2023-07-20 14:50:42.92728 Asia/Jakarta,4.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-19 00:00:00.0 +0:00,2023-07-20 14:50:55.267521 Asia/Jakarta,95.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-20 00:00:00.0 +0:00,2023-07-20 14:50:56.4598 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-21 00:00:00.0 +0:00,2023-07-20 14:51:00.150238 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-22 00:00:00.0 +0:00,2023-07-20 14:50:42.150701 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-23 00:00:00.0 +0:00,2023-07-20 14:50:45.464274 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-24 00:00:00.0 +0:00,2023-07-20 14:50:56.855865 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-25 00:00:00.0 +0:00,2023-07-20 14:50:53.653064 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-26 00:00:00.0 +0:00,2023-07-20 14:50:54.455102 Asia/Jakarta,7.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-27 00:00:00.0 +0:00,2023-07-20 14:50:40.458536 Asia/Jakarta,0.0,N
