TANGGAL,Lubuk_Minturun,Nanggalo,Parak_Karakah
2017-01-01,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-02,0.288571921320799,0.7103146755223073,0.16032664154463885
2017-01-03,1.047809834901502,0.7103146755223073,0.43923936731586916
2017-01-04,1.5473084622572277,1.2676579251868458,1.8338029961720204
2017-01-05,2.626225497345595,3.125468757401974,2.8896868865916776
2017-01-06,2.2266265954610147,1.341970358475451,1.1883192593871732
2017-01-07,0.3684917016977151,0.5245335923007944,0.7181520930870994
2017-01-08,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-09,-0.4906459373541331,-0.44152804045107247,-0.41742114755290954
2017-01-10,-0.4906459373541331,-0.44152804045107247,-0.39749880999782167
2017-01-11,-0.3308063766003009,-0.33005939051816474,-0.3696075374206987
2017-01-12,-0.450686047165675,-0.33005939051816474,-0.2978871222223823
2017-01-13,0.0727885143031255,0.6360022422337022,0.35955001709551765
2017-01-14,2.446405991497534,-0.44152804045107247,-0.4373434851079974
2017-01-15,0.3684917016977151,-0.44152804045107247,-0.4373434851079974
2017-01-16,-0.4906459373541331,1.4534390084083588,0.9333133386820484
2017-01-17,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-18,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-19,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-20,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-21,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-22,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-23,1.147709560372647,-0.08854398233019804,-0.13850842178167927
2017-01-24,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-25,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-26,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-27,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-01-28,-0.2908464864118428,-0.44152804045107247,-0.28593371968932957
2017-01-29,0.9079502192418988,2.2708757745830153,0.6583850804218357
2017-01-30,-0.450686047165675,-0.34863749884031603,-0.21819777200203078
2017-01-31,-0.2908464864118428,-0.2557469572295596,-0.25007351209017137
2017-02-01,1.9868672543302663,4.50024877324117,2.339830370071253
2017-02-02,-0.3308063766003009,-0.44152804045107247,-0.28593371968932957
2017-02-03,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-04,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-05,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-06,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-07,0.18867219584965386,-0.23716884890740833,0.2001713166548146
2017-02-08,0.1487123056611958,-0.21859074058525704,-0.04686566902827502
2017-02-09,2.32652632093216,0.4502211590121893,0.35955001709551765
2017-02-10,-0.450686047165675,-0.29290317387386217,-0.23812010955711865
2017-02-11,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-12,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-13,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-14,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-15,-0.4906459373541331,-0.44152804045107247,-0.4054677450198568
2017-02-16,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-17,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-18,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-19,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-20,1.767087858293747,0.4502211590121893,-0.4373434851079974
2017-02-21,-0.011127255092636406,0.7846271088109125,2.072871046833075
2017-02-22,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-23,-0.2309066511291557,-0.29290317387386217,-0.23812010955711865
2017-02-24,-0.09104703546955252,-0.06996587400804676,0.24001599176499036
2017-02-25,-0.410726156977217,-0.44152804045107247,-0.4373434851079974
2017-02-26,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-02-27,-0.4906459373541331,-0.33005939051816474,-0.20624436946897806
2017-02-28,0.04881258019005068,-0.06996587400804676,-0.2779647846672944
2017-03-01,2.586265607157137,3.125468757401974,1.714268970841493
2017-03-02,-0.3707662667887589,-0.44152804045107247,-0.4054677450198568
2017-03-03,-0.1310069256580106,-0.21859074058525704,0.5189287175362206
2017-03-04,-0.4906459373541331,-0.2557469572295596,-0.33773179733255804
2017-03-05,-0.4906459373541331,-0.44152804045107247,-0.38952987497578656
2017-03-06,1.5473084622572277,0.4687992673343406,1.0090182213913823
2017-03-07,3.1856639599840078,2.6052817243817383,3.0809413271205215
2017-03-08,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-03-09,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-03-10,-0.4906459373541331,-0.44152804045107247,-0.4373434851079974
2017-03-11,-0.2908464864118428,-0.1331314423033611,0.04079261621411161
