TANGGAL,y_true,y_pred,SHAP_Bulan,SHAP_Hari_Tahun,SHAP_Hari_Minggu,SHAP_Lag1,SHAP_Lag2,SHAP_Lag3,SHAP_Roll7,SHAP_Roll30,SHAP_Tetangga_Lag1_avg,SHAP_Tetangga_Roll7_avg,SHAP_STASIUN_Lubuk_Minturun,SHAP_STASIUN_Nanggalo,SHAP_STASIUN_Parak_Karakah,SHAP_Musim_Hujan_Intensif,SHAP_Musim_Kemarau,SHAP_Musim_Peralihan_1,SHAP_Musim_Peralihan_2
2024-03-15,0,0,0.0,-0.00024958514,0.009500714,-0.032794796,0.028352316,-0.0247848,-0.0006815586,-0.00040361035,-0.35204336,-0.043269917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0,0,0.0,-0.0035683163,0.016057845,-0.032794796,0.028352316,-0.0247848,-0.0006815586,-0.0134501355,-0.3422353,-0.043269917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0,0,0.0,-0.00468931,0.016057845,-0.032794796,0.028352316,-0.022542812,-0.0006815586,-0.0134501355,-0.34335625,-0.043269917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16,0,0,0.0,-0.0044177133,0.009500714,-0.032794796,0.023768723,-0.01644855,0.003032248,-0.00040361035,-0.3553417,-0.043269917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16,0,0,0.0,-0.013057519,0.016057845,-0.032794796,0.028352316,0.0035676449,-0.0006815586,-0.0134501355,-0.32103476,0.0325252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16,0,0,0.0,-0.00468931,0.016057845,-0.032794796,0.028352316,-0.0025266183,-0.0006815586,-0.0134501355,-0.31943807,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-17,0,0,0.0,-0.00024958514,0.009500714,-0.032794796,0.023768723,-0.0047717285,0.0015706753,-0.00040361035,-0.32579067,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-17,0,0,0.0,-0.008889397,0.016057845,-0.032794796,0.028352316,-0.004768604,-0.0006815586,-0.0134501355,-0.31686667,0.0325252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-17,0,0,0.0,-0.008889397,0.016057845,-0.032794796,0.023768723,-0.004768604,0.003032248,-0.0134501355,-0.31599686,0.0325252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0,0,0.0,-0.0039598527,-0.0551947,-0.032794796,0.023604667,-0.0047717285,0.0015706753,0.0055973292,-0.29161122,0.0325252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0,0,0.0,-0.0072785825,-0.07508983,-0.032794796,0.023604667,-0.0047717285,0.0015706753,-0.033901457,-0.29313928,0.0325252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0,0,0.0,-0.007352606,-0.07508983,-0.032794796,0.02240462,-0.004768604,0.003032248,-0.033901457,-0.32665685,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0,0,0.0,-0.004033876,-0.01470122,-0.032794796,0.02240462,-0.0047717285,0.0015706753,0.0055973292,-0.36415762,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0,0,0.0,-0.007352606,-0.034596346,-0.032794796,0.02240462,-0.0047717285,0.0015706753,-0.033901457,-0.36568567,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0,0,0.0,-0.007352606,-0.034596346,-0.032794796,0.02240462,-0.0047717285,0.0015706753,-0.033901457,-0.36568567,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,0,0,0.0,-0.008963422,0.016057845,-0.032794796,0.022568677,-0.0047717285,0.0015706753,-0.0134501355,-0.34658507,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,0,0,0.0,-0.00564469,0.009500714,-0.032794796,0.022568677,-0.0047717285,0.0015706753,-0.00040361035,-0.35639313,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,0,0,0.0,-0.008963422,0.016057845,-0.032794796,0.022568677,-0.0047717285,0.0015706753,-0.0134501355,-0.34658507,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0,0,0.0,-0.00564469,0.009500714,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.00040361035,-0.33126307,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0,0,0.0,-0.008963422,0.016057845,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.0134501355,-0.321455,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0,0,0.0,-0.008963422,0.016057845,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.0134501355,-0.321455,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0,0,0.0,-0.00564469,0.009500714,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.00040361035,-0.33126307,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0,0,0.0,-0.008963422,0.016057845,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.0134501355,-0.321455,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0,0,0.0,-0.008963422,0.016057845,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.0134501355,-0.321455,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23,0,0,0.0,-0.0022340282,0.009500714,-0.032794796,0.022568677,-0.0048221806,-0.023508951,0.007705127,-0.34278247,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23,0,0,0.0,-0.00564469,0.009500714,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.00040361035,-0.33126307,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23,0,0,0.0,-0.008963422,0.016057845,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.0134501355,-0.321455,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24,0,0,0.0,-0.008963422,0.016057845,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.0134501355,-0.321455,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24,0,0,0.0,-0.0022340282,0.009500714,-0.032794796,0.022568677,-0.0048221806,-0.023508951,0.007705127,-0.34278247,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-24,0,0,0.0,-0.00564469,0.009500714,-0.032794796,0.022568677,-0.0048221806,-0.023508951,-0.00040361035,-0.33126307,-0.0595535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0,1,0.0,-0.056195546,-0.047439136,0.025616255,0.007394871,-0.0066393,-0.002317368,-0.04443906,0.21733236,-0.01940068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0,0,0.0,-0.011305828,-0.0551947,0.07616081,0.015961844,-0.0045370413,0.0018230184,0.016194953,-0.19234012,-0.05990625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0,1,0.0,-0.03909479,-0.04364946,-0.010510421,0.0069440515,-0.006846547,-0.06644742,-0.0055731284,0.24097456,-0.01940068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0,1,0.0,-0.021338547,-0.0031559789,0.025616255,0.007394871,-0.0066231126,0.0022060603,0.026609797,0.191886,-0.01940068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0,1,0.0,-0.039553557,-0.0017376444,0.025616255,0.007623565,-0.0066393,-0.002317368,-0.005701267,0.16013184,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0,1,0.0,-0.056181442,-0.0069456557,0.025616255,0.007623565,-0.0066231126,0.0022060603,-0.04443906,0.1483018,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,0,1,0.0,-0.048821174,0.005685266,0.01998494,-0.09880468,0.010423893,-0.00487936,0.02546672,0.28420022,0.009938816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,0,1,0.0,-0.03929769,0.005770742,0.025616255,0.0076574995,-0.0066393,-0.002317368,-0.0067162053,0.14008906,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,0,1,0.0,-0.06623331,0.007019762,0.025616255,-0.017285706,-0.0020380272,0.0022060603,-0.04054344,0.16081685,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0,0,0.0,-0.02094859,0.009500714,0.07616081,-0.003033659,0.0038023326,-0.00042921555,0.010194009,-0.1706378,0.032172464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0,1,0.0,-0.06088733,0.005770742,0.025616255,0.0076574995,0.010423893,0.0022060603,-0.0067162053,0.14622883,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0,1,0.0,-0.07807791,0.007019762,0.025616255,0.0076574995,0.010423893,0.0022060603,-0.04054344,0.13525629,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-29,0,0,0.0,-0.02374013,0.016057845,0.07616081,0.017325943,0.0038023326,0.0032845913,-0.010961251,-0.17732155,0.032172464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-29,0,0,0.0,-0.017010741,0.009500714,0.07616081,0.021909542,0.0038023326,-0.00042921555,0.010194009,-0.19951887,0.032172464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
