fitur,importance
Hari_Minggu,0.21531819
STASIUN_Parak_Karakah,0.11524206
STASIUN_Nanggalo,0.10759115
Lag1,0.06837061
STASIUN_Lubuk_Minturun,0.06596107
Tetangga_Lag1_avg,0.06254664
Bulan,0.057207823
Musim_Peralihan_2,0.0486166
Musim_Kemarau,0.04633377
Musim_Hujan_Intensif,0.04241947
Lag3,0.035109654
Lag2,0.026313512
Hari_Tahun,0.02336705
Musim_Peralihan_1,0.02327328
Tetangga_Roll7_avg,0.02289391
Roll30,0.021702021
Roll7,0.017733177
