Threshold,Recall,Precision,F1,TP,FP,FN
0.5,0.6363636363636364,0.09247027741083223,0.16147635524798154,70,687,40
0.4,0.8636363636363636,0.08161512027491409,0.14913657770800628,95,1069,15
