POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,CURRENT ELEVATION M,DATA TIMESTAMP,RECEIVED TIMESTAMP,RAINFALL DAY MM,RAINFALL TRACE
13010103a,Air Pura,-1.99,100.95,21,2017-01-01 00:00:00.0 +0:00,2017-05-31 16:24:21.759601 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-02 00:00:00.0 +0:00,2017-05-31 16:24:23.15821 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-03 00:00:00.0 +0:00,2017-05-31 16:24:23.174456 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-04 00:00:00.0 +0:00,2017-05-31 16:24:23.492779 Asia/Jakarta,3,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-05 00:00:00.0 +0:00,2017-05-31 16:24:22.937025 Asia/Jakarta,34,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-06 00:00:00.0 +0:00,2017-05-31 16:24:22.230076 Asia/Jakarta,49,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-07 00:00:00.0 +0:00,2017-05-31 16:24:23.808916 Asia/Jakarta,26,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-08 00:00:00.0 +0:00,2017-05-31 16:24:22.308085 Asia/Jakarta,14,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-09 00:00:00.0 +0:00,2017-05-31 16:24:23.334227 Asia/Jakarta,5,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-10 00:00:00.0 +0:00,2017-05-31 16:24:21.838001 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-11 00:00:00.0 +0:00,2017-05-31 16:24:22.152162 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-12 00:00:00.0 +0:00,2017-05-31 16:24:22.385749 Asia/Jakarta,1,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-13 00:00:00.0 +0:00,2017-05-31 16:24:22.858163 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-14 00:00:00.0 +0:00,2017-05-31 16:24:23.888106 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-15 00:00:00.0 +0:00,2017-05-31 16:24:21.994674 Asia/Jakarta,7,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-16 00:00:00.0 +0:00,2017-05-31 16:24:23.650415 Asia/Jakarta,21,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-17 00:00:00.0 +0:00,2017-05-31 16:24:22.620793 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-18 00:00:00.0 +0:00,2017-05-31 16:24:22.463626 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-19 00:00:00.0 +0:00,2017-05-31 16:24:23.571098 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-20 00:00:00.0 +0:00,2017-05-31 16:24:23.93856 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-21 00:00:00.0 +0:00,2017-05-31 16:24:23.413587 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-22 00:00:00.0 +0:00,2017-05-31 16:24:24.121582 Asia/Jakarta,4,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-23 00:00:00.0 +0:00,2017-05-31 16:24:22.70025 Asia/Jakarta,17,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-24 00:00:00.0 +0:00,2017-05-31 16:24:23.730424 Asia/Jakarta,5,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-25 00:00:00.0 +0:00,2017-05-31 16:24:22.73173 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-26 00:00:00.0 +0:00,2017-05-31 16:24:22.779576 Asia/Jakarta,2,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-27 00:00:00.0 +0:00,2017-05-31 16:24:21.915883 Asia/Jakarta,15,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-28 00:00:00.0 +0:00,2017-05-31 16:24:23.966534 Asia/Jakarta,6,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-29 00:00:00.0 +0:00,2017-05-31 16:24:24.44768 Asia/Jakarta,29,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-30 00:00:00.0 +0:00,2017-05-31 16:24:22.54222 Asia/Jakarta,12,N
13010103a,Air Pura,-1.99,100.95,21,2017-01-31 00:00:00.0 +0:00,2017-05-31 16:24:23.255746 Asia/Jakarta,8,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-01 00:00:00.0 +0:00,2017-05-31 16:19:19.823306 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-02 00:00:00.0 +0:00,2017-05-31 16:19:19.907134 Asia/Jakarta,4,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-03 00:00:00.0 +0:00,2017-05-31 16:19:19.990872 Asia/Jakarta,3,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-04 00:00:00.0 +0:00,2017-05-31 16:19:18.187338 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-05 00:00:00.0 +0:00,2017-05-31 16:19:18.796244 Asia/Jakarta,1,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-06 00:00:00.0 +0:00,2017-05-31 16:19:19.57864 Asia/Jakarta,21,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-07 00:00:00.0 +0:00,2017-05-31 16:19:20.74607 Asia/Jakarta,39,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-08 00:00:00.0 +0:00,2017-05-31 16:19:19.317048 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-09 00:00:00.0 +0:00,2017-05-31 16:19:18.710403 Asia/Jakarta,7,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-10 00:00:00.0 +0:00,2017-05-31 16:19:19.485207 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-11 00:00:00.0 +0:00,2017-05-31 16:19:20.581743 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-12 00:00:00.0 +0:00,2017-05-31 16:19:19.740176 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-13 00:00:00.0 +0:00,2017-05-31 16:19:20.667717 Asia/Jakarta,12,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-14 00:00:00.0 +0:00,2017-05-31 16:19:18.883076 Asia/Jakarta,7,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-15 00:00:00.0 +0:00,2017-05-31 16:19:20.497863 Asia/Jakarta,2,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-16 00:00:00.0 +0:00,2017-05-31 16:19:20.413431 Asia/Jakarta,13,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-17 00:00:00.0 +0:00,2017-05-31 16:19:18.970393 Asia/Jakarta,9,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-18 00:00:00.0 +0:00,2017-05-31 16:19:19.231578 Asia/Jakarta,6,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-19 00:00:00.0 +0:00,2017-05-31 16:19:20.158383 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-20 00:00:00.0 +0:00,2017-05-31 16:19:20.752115 Asia/Jakarta,14,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-21 00:00:00.0 +0:00,2017-05-31 16:19:18.449669 Asia/Jakarta,25,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-22 00:00:00.0 +0:00,2017-05-31 16:19:18.620704 Asia/Jakarta,4,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-23 00:00:00.0 +0:00,2017-05-31 16:19:19.65582 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-24 00:00:00.0 +0:00,2017-05-31 16:19:20.243437 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-25 00:00:00.0 +0:00,2017-05-31 16:19:18.276632 Asia/Jakarta,8,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-26 00:00:00.0 +0:00,2017-05-31 16:19:18.364517 Asia/Jakarta,20,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-27 00:00:00.0 +0:00,2017-05-31 16:19:18.535235 Asia/Jakarta,19,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-28 00:00:00.0 +0:00,2017-05-31 16:19:20.327504 Asia/Jakarta,30,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-29 00:00:00.0 +0:00,2017-05-31 16:19:19.568816 Asia/Jakarta,3,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-30 00:00:00.0 +0:00,2017-05-31 16:19:19.144735 Asia/Jakarta,11,N
13010103a,Air Pura,-1.99,100.95,21,2017-03-31 00:00:00.0 +0:00,2017-05-31 16:19:19.401268 Asia/Jakarta,14,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-01 00:00:00.0 +0:00,2017-05-31 16:15:09.279505 Asia/Jakarta,7,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-02 00:00:00.0 +0:00,2017-05-31 16:15:09.195971 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-03 00:00:00.0 +0:00,2017-05-31 16:15:09.111959 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-04 00:00:00.0 +0:00,2017-05-31 16:15:08.610112 Asia/Jakarta,1,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-05 00:00:00.0 +0:00,2017-05-31 16:15:09.779993 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-06 00:00:00.0 +0:00,2017-05-31 16:15:08.528555 Asia/Jakarta,2,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-07 00:00:00.0 +0:00,2017-05-31 16:15:08.365143 Asia/Jakarta,13,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-08 00:00:00.0 +0:00,2017-05-31 16:15:08.945253 Asia/Jakarta,18,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-09 00:00:00.0 +0:00,2017-05-31 16:15:08.447001 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-10 00:00:00.0 +0:00,2017-05-31 16:15:09.446246 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-11 00:00:00.0 +0:00,2017-05-31 16:15:08.778114 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-12 00:00:00.0 +0:00,2017-05-31 16:15:09.948274 Asia/Jakarta,8,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-13 00:00:00.0 +0:00,2017-05-31 16:15:09.696134 Asia/Jakarta,4,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-14 00:00:00.0 +0:00,2017-05-31 16:15:08.30646 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-15 00:00:00.0 +0:00,2017-05-31 16:15:09.529623 Asia/Jakarta,2,N
13010103a,Air Pura,-1.99,100.95,21,2017-05-16 00:00:00.0 +0:00,2017-05-31 16:15:07.864498 Asia/Jakarta,0,N
