POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,CURRENT ELEVATION M,DATA TIMESTAMP,RECEIVED TIMESTAMP,RAINFALL DAY MM,RAINFALL TRACE
13010103a,Air Pura,-1.99,100.95,21,2016-01-01 00:00:00.0 +0:00,2016-04-12 21:53:12.733754 Asia/Jakarta,2,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-02 00:00:00.0 +0:00,2016-04-12 21:53:12.820271 Asia/Jakarta,9,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-03 00:00:00.0 +0:00,2016-04-12 21:53:12.822101 Asia/Jakarta,10,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-04 00:00:00.0 +0:00,2016-04-12 21:53:12.842559 Asia/Jakarta,,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-05 00:00:00.0 +0:00,2016-04-12 21:53:12.844099 Asia/Jakarta,4,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-06 00:00:00.0 +0:00,2016-04-12 21:53:12.845524 Asia/Jakarta,19,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-07 00:00:00.0 +0:00,2016-04-12 21:53:12.846917 Asia/Jakarta,12,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-08 00:00:00.0 +0:00,2016-04-12 21:53:12.848333 Asia/Jakarta,3,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-09 00:00:00.0 +0:00,2016-04-12 21:53:12.849717 Asia/Jakarta,28,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-10 00:00:00.0 +0:00,2016-04-12 21:53:12.851063 Asia/Jakarta,26,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-11 00:00:00.0 +0:00,2016-04-12 21:53:12.852444 Asia/Jakarta,24,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-12 00:00:00.0 +0:00,2016-04-12 21:53:12.853797 Asia/Jakarta,6,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-13 00:00:00.0 +0:00,2016-04-12 21:53:12.855152 Asia/Jakarta,10,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-14 00:00:00.0 +0:00,2016-04-12 21:53:12.856462 Asia/Jakarta,3,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-15 00:00:00.0 +0:00,2016-04-12 21:53:12.857927 Asia/Jakarta,,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-16 00:00:00.0 +0:00,2016-04-12 21:53:12.8594 Asia/Jakarta,5,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-17 00:00:00.0 +0:00,2016-04-12 21:53:12.860772 Asia/Jakarta,9,N
13010103a,Air Pura,-1.99,100.95,21,2016-01-18 00:00:00.0 +0:00,2016-04-12 21:53:12.862187 Asia/Jakarta,14,N
